USAF,Site Name,State,Latitude,Longitude,TZ,Elev,Class,Pool
690150,TWENTYNINE PALMS,CA,34.3,-116.167,-8,626,II,12
690190,ABILENE DYESS AFB,TX,32.433,-99.85,-6,545,II,12
690230,WHIDBEY ISLAND NAS,WA,48.35,-122.667,-8,10,II,12
699604,YUMA MCAS,AZ,32.65,-114.617,-7,65,II,12
700197,SELAWIK,AK,66.6,-160,-9,8,III,11
700260,BARROW W POST-W ROGERS ARPT [NSA - ARM],AK,71.32,-156.62,-9,10,II,24
700637,DEADHORSE,AK,70.2,-148.483,-9,23,II,12
701043,POINT HOPE (AWOS),AK,68.35,-166.8,-9,4,II,12
701195,SHISHMAREF (AWOS),AK,66.267,-166.05,-9,2,II,12
701330,KOTZEBUE RALPH WEIN MEMORIAL,AK,66.883,-162.6,-9,3,II,24
701625,ANAKTUVUK PASS,AK,68.133,-151.733,-9,657,III,11
701718,AMBLER,AK,67.1,-157.85,-9,88,II,12
701740,BETTLES FIELD,AK,66.917,-151.517,-9,196,II,24
701780,TANANA RALPH M CALHOUN MEM AP,AK,65.167,-152.1,-9,71,II,12
701940,FORT YUKON,AK,66.567,-145.267,-9,136,III,10
702000,NOME MUNICIPAL ARPT,AK,64.517,-165.45,-9,4,II,24
702005,SAINT MARY`S (AWOS),AK,62.067,-163.3,-9,95,II,12
702035,SAVOONGA,AK,63.683,-170.5,-9,17,III,12
702040,GAMBELL,AK,63.783,-171.75,-9,8,III,10
702070,UNALAKLEET FIELD,AK,63.883,-160.8,-9,5,III,11
702075,ANVIK,AK,62.65,-160.183,-9,99,III,10
702084,EMMONAK,AK,62.783,-164.5,-9,4,II,12
702185,MEKORYUK,AK,60.367,-166.267,-9,15,II,12
702186,HOOPER BAY,AK,61.517,-166.15,-9,6,II,12
702190,BETHEL AIRPORT,AK,60.783,-161.833,-9,38,II,24
702225,HUSLIA,AK,65.7,-156.383,-9,55,III,10
702310,MCGRATH ARPT,AK,62.95,-155.6,-9,105,II,24
702320,ANIAK AIRPORT,AK,61.583,-159.533,-9,26,III,11
702460,MINCHUMINA,AK,63.883,-152.283,-9,213,II,12
702495,HAYES RIVER,AK,61.983,-152.083,-9,305,II,12
702510,TALKEETNA STATE ARPT,AK,62.317,-150.1,-9,105,II,24
702590,KENAI MUNICIPAL AP,AK,60.583,-151.233,-9,26,II,12
702595,SOLDOTNA,AK,60.467,-151.033,-9,34,III,12
702600,NENANA MUNICIPAL AP,AK,64.55,-149.1,-9,109,II,12
702606,CHULITNA,AK,62.883,-149.833,-9,381,II,12
702607,HOONAH,AK,58.083,-135.45,-9,6,II,12
702610,FAIRBANKS INTL ARPT,AK,64.817,-147.85,-9,133,II,24
702647,HEALY RIVER AIRPORT,AK,63.883,-149.017,-9,396,II,12
702650,FAIRBANKS/EIELSON A,AK,64.65,-147.1,-9,167,II,12
702670,BIG DELTA ALLEN AAF,AK,64,-145.717,-9,386,II,24
702710,GULKANA INTERMEDIATE FIELD,AK,62.15,-145.45,-9,478,II,24
702720,ANCHORAGE/ELMENDORF,AK,61.25,-149.8,-9,59,II,12
702725,LAKE HOOD SEAPLANE,AK,61.183,-149.967,-9,22,III,12
702730,ANCHORAGE INTL AP,AK,61.183,-150,-9,35,II,24
702735,ANCHORAGE MERRILL FIELD,AK,61.217,-149.85,-9,42,II,12
702740,PALMER MUNICIPAL,AK,61.6,-149.083,-9,71,II,12
702746,BIRCHWOOD,AK,61.417,-149.517,-9,30,III,11
702750,VALDEZ WSO,AK,61.133,-146.35,-9,7,II,12
702756,VALDEZ PIONEER FIEL,AK,61.133,-146.267,-9,38,II,12
702757,WHITTIER,AK,60.767,-148.683,-9,9,II,12
702770,SEWARD,AK,60.117,-149.45,-9,18,II,12
702910,NORTHWAY AIRPORT,AK,62.967,-141.933,-9,522,II,12
702960,CORDOVA,AK,60.5,-145.5,-9,12,II,12
702986,BIG RIVER LAKE,AK,60.817,-152.3,-9,12,II,12
703080,ST PAUL ISLAND ARPT,AK,57.167,-170.217,-9,7,II,24
703160,COLD BAY ARPT,AK,55.2,-162.717,-9,29,II,24
703165,SAND POINT,AK,55.317,-160.517,-9,7,II,12
703210,DILLINGHAM (AMOS),AK,59.05,-158.517,-9,29,II,12
703260,KING SALMON ARPT,AK,58.683,-156.65,-9,15,II,24
703330,PORT HEIDEN,AK,56.95,-158.617,-9,29,II,12
703400,ILIAMNA ARPT,AK,59.75,-154.917,-9,57,II,12
703407,SLEETMUTE,AK,61.717,-157.15,-9,54,III,11
703410,HOMER ARPT,AK,59.65,-151.483,-9,27,II,12
703430,MIDDLETON ISLAND AUT,AK,59.467,-146.317,-9,14,II,12
703500,KODIAK AIRPORT,AK,57.75,-152.5,-9,5,II,24
703606,TOGIAC VILLAGE AWOS,AK,59.05,-160.4,-9,6,II,12
703610,YAKUTAT STATE ARPT,AK,59.517,-139.633,-9,8,II,24
703620,SKAGWAY AIRPORT,AK,59.467,-135.3,-9,9,II,12
703670,GUSTAVUS,AK,58.417,-135.7,-9,12,II,12
703710,SITKA JAPONSKI AP,AK,57.05,-135.367,-9,4,II,12
703810,JUNEAU INT'L ARPT,AK,58.35,-134.583,-9,4,II,12
703855,KAKE SEAPLANE BASE,AK,56.967,-133.95,-9,0,II,12
703860,PETERSBURG,AK,56.8,-132.95,-9,33,II,12
703870,WRANGELL,AK,56.483,-132.367,-9,13,II,12
703884,HYDABURG SEAPLANE,AK,55.2,-132.833,-9,0,III,11
703950,KETCHIKAN INTL AP,AK,55.367,-131.717,-9,23,II,12
703980,ANNETTE ISLAND AP,AK,55.05,-131.567,-9,33,II,24
704140,SHEMYA AFB,AK,52.717,174.117,-10,31,II,12
704540,ADAK NAS,AK,51.883,-176.65,-10,5,III,10
704890,DUTCH HARBOR,AK,53.9,-166.55,-9,4,II,12
722010,KEY WEST INTL ARPT,FL,24.55,-81.75,-5,1,I,24
722015,KEY WEST NAS,FL,24.583,-81.683,-5,7,II,12
722016,MARATHON AIRPORT,FL,24.733,-81.05,-5,2,II,12
722020,MIAMI INTL AP,FL,25.817,-80.3,-5,11,I,24
722024,MIAMI/OPA LOCKA,FL,25.9,-80.283,-5,3,II,12
722025,FORT LAUDERDALE HOLLYWOOD INT,FL,26.067,-80.15,-5,3,II,12
722026,HOMESTEAD AFB,FL,25.483,-80.383,-5,5,II,12
722029,MIAMI/KENDALL-TAMIA,FL,25.65,-80.433,-5,3,II,12
722030,WEST PALM BEACH INTL ARPT,FL,26.683,-80.1,-5,6,II,24
722038,NAPLES MUNICIPAL,FL,26.15,-81.767,-5,3,III,10
722039,FORT LAUDERDALE,FL,26.2,-80.167,-5,4,II,12
722040,MELBOURNE REGIONAL AP,FL,28.117,-80.65,-5,11,II,12
722045,VERO BEACH MUNICIPAL ARPT,FL,27.65,-80.417,-5,7,I,12
722050,ORLANDO INTL ARPT,FL,28.433,-81.333,-5,29,I,12
722053,ORLANDO EXECUTIVE AP,FL,28.55,-81.333,-5,33,II,12
722055,OCALA MUNI (AWOS),FL,29.167,-82.217,-5,27,II,12
722056,DAYTONA BEACH INTL AP,FL,29.183,-81.067,-5,9,I,24
722057,ORLANDO SANFORD AIRPORT,FL,28.783,-81.25,-5,17,II,12
722060,JACKSONVILLE INTL ARPT,FL,30.5,-81.7,-5,8,I,24
722065,JACKSONVILLE NAS,FL,30.233,-81.667,-5,9,II,12
722066,MAYPORT NS,FL,30.4,-81.417,-5,5,II,12
722068,JACKSONVILLE/CRAIG,FL,30.333,-81.517,-5,12,II,12
722070,SAVANNAH INTL AP,GA,32.117,-81.2,-5,14,I,24
722080,CHARLESTON INTL ARPT,SC,32.9,-80.033,-5,12,I,24
722085,BEAUFORT MCAS,SC,32.483,-80.717,-5,10,II,12
722103,ST LUCIE CO INTL,FL,27.483,-80.367,-5,7,II,12
722104,ST PETERSBURG ALBERT WHITTED,FL,27.767,-82.633,-5,2,II,12
722106,FORT MYERS PAGE FIELD,FL,26.583,-81.867,-5,5,I,12
722108,SOUTHWEST FLORIDA I,FL,26.533,-81.75,-5,9,II,12
722110,TAMPA INTERNATIONAL AP,FL,27.967,-82.533,-5,6,I,24
722115,SARASOTA BRADENTON,FL,27.383,-82.55,-5,10,II,12
722116,ST PETERSBURG CLEAR,FL,27.9,-82.683,-5,3,II,12
722119,LAKELAND LINDER RGN,FL,27.983,-82.017,-5,43,II,12
722135,ALMA BACON COUNTY AP,GA,31.533,-82.5,-5,63,II,12
722136,BRUNSWICK GOLDEN IS,GA,31.25,-81.467,-5,8,II,12
722137,BRUNSWICK MALCOLM MCKINNON AP,GA,31.15,-81.383,-5,4,II,12
722140,TALLAHASSEE REGIONAL AP [ISIS],FL,30.38,-84.37,-5,21,I,24
722146,GAINESVILLE REGIONAL AP,FL,29.7,-82.283,-5,41,I,12
722160,ALBANY DOUGHERTY COUNTY AP,GA,31.533,-84.183,-5,58,II,12
722166,VALDOSTA WB AIRPORT,GA,30.783,-83.283,-5,61,II,12
722170,MACON MIDDLE GA REGIONAL AP,GA,32.683,-83.65,-5,108,I,24
722175,WARNER ROBINS AFB,GA,32.633,-83.6,-5,92,II,12
722180,AUGUSTA BUSH FIELD,GA,33.367,-81.967,-5,40,I,24
722190,ATLANTA HARTSFIELD INTL AP,GA,33.633,-84.433,-5,308,I,24
722195,FULTON CO ARPT BROW,GA,33.767,-84.517,-5,263,II,12
722196,DEKALB PEACHTREE,GA,33.867,-84.3,-5,313,II,12
722210,VALPARAISO ELGIN AFB,FL,30.483,-86.517,-6,20,II,12
722215,CRESTVIEW BOB SIKES AP,FL,30.783,-86.517,-6,58,II,12
722223,PENSACOLA REGIONAL AP,FL,30.483,-87.183,-6,34,I,12
722225,PENSACOLA FOREST SHERMAN NAS,FL,30.35,-87.317,-6,10,II,12
722226,WHITING FIELD NAAS,FL,30.717,-87.017,-6,54,II,12
722230,MOBILE REGIONAL AP,AL,30.683,-88.25,-6,66,I,24
722235,MOBILE DOWNTOWN AP,AL,30.633,-88.067,-6,8,II,12
722245,PANAMA CITY BAY CO,FL,30.2,-85.683,-6,6,II,12
722250,FORT BENNING LAWSON,GA,32.35,-85,-6,88,II,12
722255,COLUMBUS METROPOLITAN ARPT,GA,32.517,-84.95,-6,120,I,24
722260,MONTGOMERY DANNELLY FIELD,AL,32.3,-86.4,-6,62,I,24
722265,MAXWELL AFB,AL,32.383,-86.35,-6,53,II,12
722267,TROY AF,AL,31.867,-86.017,-6,120,II,12
722268,DOTHAN MUNICIPAL AP,AL,31.233,-85.433,-6,98,II,12
722269,CAIRNS FIELD FORT RUCKER,AL,31.267,-85.717,-6,91,II,12
722270,MARIETTA DOBBINS AFB,GA,33.917,-84.517,-5,330,II,12
722280,BIRMINGHAM MUNICIPAL AP,AL,33.567,-86.75,-6,189,I,24
722284,AUBURN-OPELIKA APT,AL,32.616,-85.433,-6,236,III,12
722285,GADSEN MUNI (AWOS),AL,33.967,-86.083,-6,173,III,12
722286,TUSCALOOSA MUNICIPAL AP,AL,33.217,-87.617,-6,51,II,12
722287,ANNISTON METROPOLITAN AP,AL,33.583,-85.85,-6,186,II,12
722310,NEW ORLEANS INTL ARPT,LA,30,-90.25,-6,1,I,24
722314,NEW IBERIA NAAS,LA,30.033,-91.883,-6,8,II,12
722315,NEW ORLEANS LAKEFRONT AP,LA,30.05,-90.033,-6,3,II,12
722316,NEW ORLEANS ALVIN CALLENDER F,LA,29.817,-90.017,-6,2,II,12
722317,BATON ROUGE RYAN ARPT,LA,30.533,-91.15,-6,20,II,24
722329,PATTERSON MEMORIAL,LA,29.717,-91.333,-6,3,II,12
722340,MERIDIAN KEY FIELD,MS,32.333,-88.75,-6,90,I,24
722345,MERIDIAN NAAS,MS,32.55,-88.567,-6,83,II,12
722348,HATTIESBURG LAUREL,MS,31.467,-89.333,-6,93,II,12
722350,JACKSON INTERNATIONAL AP,MS,32.317,-90.083,-6,94,I,24
722356,GREENVILLE MUNICIPAL,MS,33.483,-90.983,-6,42,II,12
722357,NATCHEZ/HARDY(AWOS),MS,31.617,-91.3,-6,83,II,12
722358,MCCOMB PIKE COUNTY AP,MS,31.233,-90.467,-6,126,II,12
722359,GREENWOOD LEFLORE ARPT,MS,33.5,-90.083,-6,47,II,12
722390,FORT POLK AAF,LA,31.05,-93.183,-6,102,II,12
722400,LAKE CHARLES REGIONAL ARPT,LA,30.117,-93.233,-6,5,I,24
722404,LAKE CHARLES WB AIRP,LA,30.217,-93.167,-6,5,III,10
